acc	ApApos2	ApAbridge	ApCpos2	ApCbridge	ApGpos1	ApGpos2	ApGbridge	ApTpos1	ApTpos2	ApTbridge	CpApos2	CpAbridge	CpCpos2	CpCbridge	CpGpos1	CpGpos2	CpGbridge	CpTpos1	CpTpos2	CpTbridge	GpApos2	GpAbridge	GpCpos2	GpCbridge	GpGpos2	GpGbridge	GpTpos1	GpTpos2	GpTbridge	TpApos1	TpApos2	TpAbridge	TpCpos1	TpCpos2	TpCbridge	TpGpos1	TpGpos2	TpGbridge	TpTpos1	TpTpos2	TpTbridge
DQ666289	0.8035264483627205	0.9413385015993136	1.273622571200426	0.5929419531913784	1.1094648487521213	1.2452830188679243	1.2021657000827741	1.0	0.7734185585188451	1.0437270015296793	1.0411349538821422	1.3761077635645407	1.145238944470865	0.8344555212357173	0.5252861795956609	0.5313178845968857	0.5281032828356257	1.029706344517721	1.4263900296335679	1.4523515253044657	1.3366870957730983	1.2041580455822947	0.48089314684694695	0.5217855652341716	1.124719770160866	0.7333197927425921	1.0	0.8726563213993731	0.9905307682268624	1.0	0.8726686100812272	0.5929473887843336	1.1298963612640478	1.1225488819867313	1.6442855366007287	1.0	0.9762683438155136	1.316756347402862	0.9737221554672336	0.9914449520661586	0.5410112936351222
DQ666290	0.8113636363636363	0.8904310286315972	1.2351804123711339	0.6041273648398349	1.1038833810631568	1.240301100173712	1.2010395344651617	1.0	0.8033405172413792	1.0482237936915444	1.0414636540248596	1.3616577148264535	1.1868554477462347	0.9116361472678853	0.5251165877047305	0.5199911716815957	0.529384355524492	1.0252523438341894	1.4075623095519054	1.441172893354699	1.2471354920405209	1.2385626271340064	0.5043747057336017	0.5152261041224623	1.1795372214685127	0.711098602491579	1.0	0.8519671638866495	0.9658647193910158	1.0	0.8957022471910112	0.6041313326961074	1.1452718480152084	1.1152851940487403	1.5799692456242609	1.0	0.9453151190077105	1.3327829781939702	0.9774112926594443	0.994132333051391	0.5524671221950402
DQ866105	0.8055201380034501	0.9088872251099613	1.2560871056241425	0.6009561490822496	1.07910711813745	1.243405613442223	1.0772179855572284	1.0	0.7886731048144612	1.1628677071882467	1.0545326449754573	1.3510443037801843	1.1558976744425684	0.8706919899696721	0.526922637474069	0.5234253620117292	0.5712073882263599	1.0316621499548329	1.4513164904326772	1.4427696545381972	1.1658291457286432	1.2609247964585915	0.5455907593907254	0.5307545033337145	1.2206632653061225	0.7915193565097846	1.0	0.8286443729051601	0.8971037801649411	1.0	0.8606233414262323	0.5565997252729221	1.1623391310738433	1.0858464539431674	1.6236995319440897	1.0	0.9909014675052412	1.3641068986455724	0.9721279706041668	1.0252177815103911	0.5460982646011003
DQ866106	0.7952773446201827	0.8853812370780918	1.2351804123711339	0.5930189865629055	1.0662842207482612	1.263777267508611	1.194979876845389	1.0	0.8033405172413792	1.0426965754898077	1.0361126105584488	1.3748831749155423	1.1458361583370287	0.90524380376209	0.5262204315128193	0.5454817928904407	0.5151995770552473	1.0718547230993798	1.4613642121349564	1.4016455226257956	1.240410708694291	1.2455962626682193	0.5424634176954245	0.5384051096916067	1.186477159204432	0.7153522182478572	1.0	0.7944799738221476	1.019847181876903	1.0	0.8917491195706858	0.560357310019089	1.1678506801005633	1.1156999351318069	1.6481048205712294	1.0	0.9496153846153847	1.3445176282968963	0.9357245679139287	0.9946277749855964	0.5427508831958192
DQ866108	0.8590119557861495	0.8962557714131101	1.2394396551724138	0.6174206169603315	1.081937617903164	1.182695118386437	1.1918049145204601	1.0	0.8010386819484239	1.039279263946697	1.0335231752475214	1.3557916275774464	1.149761697435621	0.9098528036042115	0.5275393345455875	0.5472221021560592	0.5268328020863519	1.0744805740936942	1.4372575258166713	1.3861856291616605	1.2367167571882214	1.2291430475935992	0.5009712947213162	0.5046227729829129	1.189793369448441	0.7371600822366691	1.0	0.8419166372587026	1.0217920012863793	1.0	0.8795423214778054	0.598269527630845	1.156512729798171	1.1106627234570159	1.6464483873730595	1.0	0.9963191741411407	1.3185429779194087	0.9337948877674741	0.9843404210759215	0.5462189061165023
DQ866109	0.8208955223880597	0.8827586734467129	1.2332474226804124	0.6083777098032193	1.0815580784478918	1.2313432835820894	1.1818211663370835	1.0	0.8043948126801153	1.041160121529799	1.0340002266921007	1.3496729017208344	1.1464712851838335	0.8937269998313109	0.5270838723627039	0.54582029456154	0.5290931329722174	1.0867674312481954	1.446253767459703	1.382382141157761	1.2374624092307032	1.2454233650345512	0.49830825982669374	0.6040030144325113	1.1865450111847808	0.7089423928946789	1.0	0.8450662210555692	0.9692123910339353	1.0	0.8800110283981252	0.6009632846788782	1.1582013862989704	1.1151138613921863	1.6318806533533667	1.0	0.9376686909581646	1.374382040416058	0.9200491987328465	1.0359773803047672	0.5493462719963084
DQ866110	0.8494839236652558	0.9170581016791884	1.226923076923077	0.7213502351558373	1.0476434393648337	1.1933145772733775	1.1531078364486864	1.0	0.815625	0.9492797750068555	1.093543129700837	1.2334899695638541	1.110943364606184	0.8809276010054968	0.5304155017834763	0.4884286756388738	0.5946934659412578	1.0845528455284552	1.4930639773289862	1.4632815628305764	1.1521173203748698	1.2095122250918546	0.4332926499424596	0.5393596209380133	1.2382069088130088	0.7475316109083479	1.0	0.8820909867785063	0.9458023004973305	1.0	0.8522276259153669	0.6562761063554919	1.1920239890375701	1.1489932481311793	1.6420770587246336	1.0	1.0025133120340788	1.2993884768685207	0.9266129032258065	0.9768074059561129	0.546810843766474
DQ866112	0.7966371615866079	0.880937317951063	1.2378892733564015	0.5939000582570956	1.0751788171011094	1.2610038977089078	1.2561907448793899	1.0	0.8018731988472624	0.9948677417051497	1.064684854881451	1.3546421350941578	1.1561267408172045	0.911840688610618	0.5292526478610794	0.5432490717712053	0.4923171661486131	1.075274257348694	1.4138941172335469	1.3878848390660037	1.1906358712501943	1.2363149052066942	0.499606929989774	0.5371541527631818	1.236264563829823	0.7121248364785496	1.0	0.8424129823401348	1.077076617466029	1.0	0.9271196364346056	0.5993679334104414	1.16257107266283	1.0818425182351412	1.6552781542098833	1.0	0.9451380042462845	1.3014646298071118	0.9332163973794626	0.9972268995982747	0.5496100887181431
DQ866116	0.8782149104849816	0.9271265668377492	1.171153846153846	0.6754740653608623	1.0483729977509073	1.1555280920239563	1.161725468126143	1.0	0.8609375	0.9518157282242403	1.096368630376531	1.2766040326896382	1.1776032792784292	0.8806225329325061	0.5298531443812463	0.4869203231383351	0.5780987177007895	1.0845528455284552	1.439127129846722	1.443008659604192	1.0915831319232887	1.2163295722001428	0.5064884656509014	0.6050462589041586	1.3115108614023863	0.7167879501566737	1.0	0.8221914839554422	0.9430937413321475	1.0	0.8541007032979352	0.613752453401063	1.1923331311150047	1.1079696165903063	1.6417603210713139	1.0	0.9998301486199576	1.3204555865168859	0.9266129032258065	1.0097227664576802	0.5632114360484625
DQ866119	0.7983771913499832	0.8933195643465355	1.2417820069204153	0.5960338164464731	1.0801317373553787	1.257486453084894	1.1874689861211523	1.0	0.799785100286533	1.0453204310498603	1.0394696541805548	1.342643589699534	1.1548386988165447	0.9128174706430243	0.527512258724212	0.542571648407801	0.5584309848506875	1.0765111783594354	1.438427163686038	1.3690814653306422	1.243433917992088	1.2366434022290855	0.4782146884070727	0.5363857262671534	1.1792311371818436	0.7113147345497454	1.0	0.859051231307124	1.0137961721582662	1.0	0.8931043178570429	0.6016254114287126	1.1593014403075872	1.1233841045138762	1.6474461563189131	1.0	0.9440339702760085	1.3174237776878341	0.9323192105057344	0.9924329967257774	0.5626698950791608
