"","accessions","cpg","upa"
"1","Node13",0.548571867912198,0.669328999610229
"2","Node13",0.562837902837903,0.687071285352469
"3","Node13",0.550913370998117,0.672410891588974
"4","Node13",0.571077380441929,0.692304113776833
"5","Node13",0.52665796048149,0.698698128014058
"6","Node13",0.572977313792411,0.664250565234739
"7","Node13",0.555896549103071,0.685563295700216
"8","Node13",0.54909958442358,0.671427056687299
"9","Node13",0.562443693693694,0.66502992070675
"10","Node13",0.542317485653479,0.65881809787627
"11","Node13",0.586939470462198,0.673037193513887
"12","Node13",0.556218924391797,0.67745192436278
"13","Node13",0.56890365448505,0.694195655071305
"14","Node13",0.554131717924821,0.701242284860636
"15","Node13",0.576865326865327,0.669824605478021
"16","Node13",0.535962441314554,0.673476267529666
"17","Node13",0.543205177007994,0.66629313162441
"18","Node13",0.549876494417548,0.674962419655816
"19","Node13",0.557247735082787,0.690007122367501
"20","Node13",0.563749012352816,0.687275270335354
"21","Node13",0.547225524408483,0.672108527646025
"22","Node13",0.574630872483221,0.698380995211767
"23","Node13",0.545046550489377,0.692939626958997
"24","Node13",0.558054577884606,0.693410104506423
"25","Node13",0.545998357534809,0.687169783167504
"26","Node13",0.558998318428495,0.66446265598808
"27","Node13",0.539921999301486,0.702701815436131
"28","Node13",0.561530635749386,0.708737285441831
"29","Node13",0.541376203348034,0.677678487819887
"30","Node13",0.558358146281875,0.692506614548017
"31","Node13",0.550317194037909,0.669572285812472
"32","Node13",0.540845481049563,0.701242284860636
"33","Node13",0.548727760426925,0.655604351057361
"34","Node13",0.55247403210576,0.66998450631485
"35","Node13",0.557772608538143,0.685805827186864
"36","Node13",0.561234376049191,0.690340494903842
"37","Node13",0.548445366847304,0.679928528886242
"38","Node13",0.546282826736085,0.682027282684457
"39","Node13",0.529051086563872,0.667000534188034
"40","Node13",0.576277379281168,0.678070800665241
"41","Node13",0.53292157426027,0.701219188270293
"42","Node13",0.557761973764491,0.692506614548017
"43","Node13",0.538079262102505,0.705095264447782
"44","Node13",0.552787226001512,0.709092130002686
"45","Node13",0.57913961038961,0.69594158197899
"46","Node13",0.546382180359724,0.673739859023806
"47","Node13",0.554043560606061,0.698075402409768
"48","Node13",0.563130438130438,0.678756168618824
"49","Node13",0.534456928838951,0.675598901619165
"50","Node13",0.551198831786707,0.681205120619638
"51","Node13",0.53083240335365,0.692939626958997
"52","Node13",0.547834766584767,0.69859352465632
"53","Node13",0.54108368407083,0.696535077161732
"54","Node13",0.57913961038961,0.689371980676328
"55","Node13",0.550965250965251,0.686057692307692
"56","Node13",0.540556553834199,0.692128203447598
"57","Node13",0.560949185043145,0.652764518695306
"58","Node13",0.558672714251611,0.674179209752332
"59","Node13",0.574630872483221,0.708737285441831
"60","Node13",0.542616499039869,0.704606720580778
"61","Node13",0.560949185043145,0.671427056687299
"62","Node13",0.553132934085315,0.674810844892812
"63","Node13",0.564642705732724,0.671168447221662
"64","Node13",0.527556591969059,0.659056224899598
"65","Node13",0.556921515825625,0.68917851758548
"66","Node13",0.571077380441929,0.701591899649197
"67","Node13",0.584009226877,0.668951695087981
